"","Company Name","State","Company Code","Electric Utility Plant (dollars)","Electric Operating Revenues (dollars)","Electric Customers","Energy Purchased (Kilowatt/hour)"
"4234","*Town of lone","Washington","46-590",NA,NA,NA,NA
"4235","'Public Utility District No. 1,","Washington","46-591","6443133","817285",NA,"3580000"
"4236","*PubIic Utility District No. 1","Washington","46-592","3094772","804931","12413","0360"
"4237","*Town of Milton","Washington","46-595","25000","5335","189","333360"
"4238","'Public Utility District No. 1","Washington","46-600",NA,NA,NA,NA
"4239","*Public Utility District No. 1 of","Washington","46-603","304011","25031","7","153900"
"4240","*PubIic Utility Dist. #1 of","Washington","46-611",NA,"21429",NA,"03850"
"4241","*Public Utility District Number 1","Washington","46-618",NA,NA,NA,NA
"4242","*PubIic Utility District No. 1","Washington","46-619","78548","23054","55","915460"
"4243","*Public Utility District No. 2 of","Washington","46-620","621465","180593",NA,"5601098"
"4244","*Public Utility District No. 1 of","Washington","46-621","117051","12181","258","78600"
"4245","""Town of Pacific Distributing","Washington","46-622","4500","2307","105","84480"
"4246","*City of Port Angeles, Light &","Washington","46-633","493741","187287","3579","8285000"
"4247","*Priest Rapids Irrigation","Washington","46-644","5e+05","1028","1","44830"
"4248","Town of Ruston Electric","Washington","46-655","12158","5898","250","416544"
"4249","*City of Seattle, Department of","Washington","46-666","71104299","8273199","93",NA
"4250","""Town of South Cle Elum","Washington","46-677",NA,"4552","130","142422"
"4251","*Town of Steilacoom","Washington","46-688","27258","10824","310","571800"
"4252","*Sumas Light and Power","Washington","46-699","30000","1439","275","390520"
"4253","*City of Tacoina, Department of","Washington","46-710","25695167","2890815","38879","68959000"
"4254","*WatervilIe Light System","Washington","46-721","16230","18449","330","700000"
"4255","*U. S. Bureau of Reclamation,","Washington","46-725","404844","41949","6","3188"
"4256","*Vera Irrigation District No. 15","Washington","46-730","25870",NA,"339",NA
"4257","*Alder Mutual Light Company","Washington","46-810",NA,"1405",NA,"65950"
"4258","*Benton Rural Electric Association","Washington","46-815","259769","21291","593",NA
"4259","•""Big Bend Electric Cooperative,","Washington","46-818","181724","3939","249",NA
"4260","*Coin in hi a County Rural Electric","Washington","46-824","78409","5894","85","27900"
"4261","*Douglas County Electric Coop","Washington","46-828",NA,NA,NA,NA
"4262","*Elmhurst Mutual Company","Washington","46-831",NA,NA,NA,NA
"4263","""Inland Empire Rural Electrifica","Washington","46-850","1330754","128500","2501","2110810"
"4264","*Lincoln Electric Cooperative, Inc.","Washington","46-863",NA,NA,NA,NA
"4265","*Lakeview Light & Water","Washington","46-864","50000",NA,"452","3500000"
"4266","*LoveIand Mutual Company","Washington","46-865",NA,NA,NA,NA
"4267","*Lower Elwha Company","Washington","46-867",NA,NA,NA,NA
"4268","*MutuaI Power and Light","Washington","46-880","22080","1087","28","34000"
"4269","*Ohop Valley Mutual Light","Washington","46-884",NA,NA,NA,NA
"4270","*Okanogan County Electric","Washington","46-885","58000","797","107",NA
"4271",NA,"Washington","46-154",NA,NA,NA,NA
"4272","*Orcas Power & Light","Washington","46-886",NA,"13901","227",NA
"4273","'Peninsula Light Company","Washington","46-887",NA,NA,NA,"1465550"
"4274","*Pend Oreille Electric","Washington","46-888","1867","5551","347",NA
"4275","*Quinault Light Company","Washington","46-910",NA,NA,NA,NA
"4276","Appalachian Electric Power","West Virginia","47-012","158427549","26319644",NA,"493659206"
"4277","C. C. Bailey","West Virginia","47-016",NA,"11739","388","212440"
"4278","Beech Bottom Power Company,","West Virginia","47-020",NA,"2742032","2",NA
"4279","Black Diamond Power Co.","West Virginia","47-024","55994","26386","669","608894"
"4280","Chesapeake Light and Water","West Virginia","47-028",NA,NA,NA,NA
"4281","Community Power Co.","West Virginia","47-033",NA,NA,"1",NA
"4282","Elk Power Co.","West Virginia","47-041",NA,"21255","286","505200"
"4283","Fairfax Electric Co.","West Virginia","47-043",NA,"15",NA,"3541"
"4284","Flat Top Power Company","West Virginia","47-049","515","4508","484","111721"
"4285","Mr. J. R. Gildersleeve","West Virginia","47-054",NA,NA,NA,NA
"4286","Guyan Utilities Company","West Virginia","47-062",NA,"3518","88","84102"
"4287","Kanawha Valley Power Company","West Virginia","47-079","4852196","640795",NA,NA
"4288","Kimball Light & Water Co.","West Virginia","47-091","37142","25252","394","714400"
"4289","Monongahela West Penn Public","West Virginia","47-096",NA,"9100513","99595","101424528"
"4290","? Point Pleasant Water & Light Co.","West Virginia","47-117","511339","149392","2573","56834"
"4291","Potomac Light and Power","West Virginia","47-121","3991670","2186381","16980","98681701"
"4292","The Potomac Transmission","West Virginia","47-125",NA,NA,NA,NA
"4293","Preston County Light & Power","West Virginia","47-138","134045","66478","832","2371051"
"4294","Thacker Electric Light & Power","West Virginia","47-155",NA,"1573","46","22440"
"4295","Union Power Company","West Virginia","47-163","103511","76891","1109","2183580"
"4296","United Light & Power Company","West Virginia","47-167","89934",NA,"481","1611600"
"4297","Virginia Public Service Company","West Virginia","47-171",NA,"475210","7457",NA
"4298","War Light and Water Company","West Virginia","47-175","61112","54397","940","1508400"
"4299","West Penn Power Company","West Virginia","47-178",NA,"57192",NA,NA
"4300","West Virginia Power and","West Virginia","47-182","3837853","809778","1",NA
"4301","West Virginia Light, Heat and","West Virginia","47-186","1183725","179","2082","7249400"
"4302","Wheeling Electric Company","West Virginia","47-190","8946633","2845215",NA,"119549739"
"4303","Alpha Portland Cement Co.","West Virginia","47-201",NA,NA,NA,NA
"4304","American Coal Co. of Allegheny","West Virginia","47-202",NA,NA,NA,NA
"4305","The American Rolling Mill Co.","West Virginia","47-203",NA,"5858","148",NA
"4306","Birchton Coal Co.","West Virginia","47-205",NA,"1200","72",NA
"4307","Black Band Corporation","West Virginia","47-210",NA,NA,NA,NA
"4308","The Carbon Fuel Co.","West Virginia","47-250","93617","10622","460",NA
"4309","Cherry River Boom & Lumber","West Virginia","47-258","150000","19269","2",NA
"4310","Consolidation Coal Co.,","West Virginia","47-259",NA,NA,NA,NA
"4311","Crozer Coal & Coke Co.","West Virginia","47-260",NA,"21930","690",NA
"4312","The Davis Coal & Coke Co.","West Virginia","47-265",NA,NA,NA,NA
"4313","Elk River Coal and Lumber Co.","West Virginia","47-268",NA,"16431","340",NA
"4314","Electro Metallurgical Co.","West Virginia","47-270",NA,NA,NA,NA
"4315","Glogora Coal Co.","West Virginia","47-275",NA,NA,NA,NA
"4316","Greenwood Coal Co.","West Virginia","47-279",NA,NA,NA,NA
"4317","Hutchinson Coal Co.","West Virginia","47-280",NA,NA,NA,NA
"4318","Kingston-Pocahontas Coal Co.,","West Virginia","47-281",NA,NA,NA,NA
"4319","The hoppers Coal Co.","West Virginia","47-282",NA,NA,NA,NA
"4320","Lake Superior Coal Co.","West Virginia","47-283",NA,NA,NA,NA
"4321","Leckie Fire Creek Coal Co.","West Virginia","47-284",NA,NA,"100",NA
"4322","Lillybrook Coal Co.","West Virginia","47-285",NA,"20341","483",NA
"4323","Logan County Coal Corporation","West Virginia","47-286",NA,NA,NA,NA
"4324","Low Volatile Coal Co.","West Virginia","47-288",NA,"4740",NA,NA
"4325","MacAIpin Coal Company","West Virginia","47-292",NA,"9721","226",NA
"4326","McCall Coal Company","West Virginia","47-294","6297","1848","68",NA
"4327","Margarette Coal Corporation","West Virginia","47-296",NA,"6110","187",NA
"4328","Maryland New River Coal Co.","West Virginia","47-310","12000","3113","135",NA
"4329","The Meadow River Lumber Co.","West Virginia","47-315","217444","28989","265",NA
"4330","Milburn By-Products Coal","West Virginia","47-320",NA,"5257","110",NA
"4331","New River & Pocahontas","West Virginia","47-345",NA,"36892","930",NA
"4332","Page Mining Company","West Virginia","47-369",NA,"300","177",NA
"4333","Page Coal & Coke Co.","West Virginia","47-370",NA,NA,NA,NA
"4334","Pemberton Coal and Coke Co.","West Virginia","47-371",NA,NA,NA,NA
"4335","Parsons Tanning Company","West Virginia","47-372",NA,NA,NA,NA
"4336","Preston County Coke Co.","West Virginia","47-375","250000","34691",NA,NA
"4337","Quincy Coal Company","West Virginia","47-391",NA,NA,NA,NA
"4338","Raleigh-Wyoming Mining Co.","West Virginia","47-394",NA,NA,NA,NA
"4339","Red Jacket Coal Corporation","West Virginia","47-395",NA,"17642","425",NA
"4340","W. M. Ritter Lumber Co.","West Virginia","47-398",NA,"4830","424",NA
"4341","Scotia Coal & Coke Co.","West Virginia","47-400","72967","9000","121",NA
"4342","Thompson Mahogany Company","West Virginia","47-410",NA,NA,NA,NA
"4343","Truax Traer Coal Co.","West Virginia","47-415",NA,"7556","250",NA
"4344","United States Coal & Coke Co.","West Virginia","47-420","1201505","82467","2117",NA
"4345","West Virginia Coal & Coke","West Virginia","47-425","550000",NA,NA,NA
"4346","West Virginia Pulp & Paper Co.","West Virginia","47-429",NA,NA,NA,NA
"4347","Winding Gulf Collieries","West Virginia","47-488",NA,"13135","296",NA
"4348","*City of Grafton","West Virginia","47-548",NA,NA,NA,NA
"4349","*New MartinsTille Municipal","West Virginia","47-567","102933","64705","1076","1742400"
"4350","""City of Philippi","West Virginia","47-586",NA,NA,NA,NA
"4351","*Kavenswood Municipal Light","West Virginia","47-605",NA,NA,NA,NA
"4352","*Hardy County Light & Power","West Virginia","47-865","159459","5734","226","53924"
"4353","Blue River Light Company","Wisconsin","48-017",NA,"6904",NA,"153930"
"4354","Coleman Pound Light & Power","Wisconsin","48-026","24312","18330","297","379600"
"4355","Consolidated Water Power","Wisconsin","48-033","5112474","676301","242","9613000"
"4356","Cross Plains Electric Company","Wisconsin","48-035",NA,"14822","288","391642"
"4357","Dahlberg Light & Power","Wisconsin","48-037","240172","68483","1348","488000"
"4358","Davis Power and Milling Company","Wisconsin","48-041",NA,NA,NA,NA
"4359","Eau Claire Dells Improvement","Wisconsin","48-046","727997","216164","1",NA
"4360","Elk Creek Power Company","Wisconsin","48-050","34356","3934","85",NA
"4361","Goodman Light & Power","Wisconsin","48-053","14327",NA,"179","193838"
"4362","Grimh Power Company","Wisconsin","48-054",NA,"12365","278",NA
"4363","Hanerville Transmission Line","Wisconsin","48-056","10035","2354","38","62525"
"4364","Hanson Electric Light & PowerCo.","Wisconsin","48-057","17794",NA,NA,NA
"4365","Interstate Light and Power","Wisconsin","48-060","1221984","357545","2758","15175302"
"4366","Interstate Power Company of","Wisconsin","48-061","2019890","419215","4983","14861709"
"4367","Iron River Electric Transmission","Wisconsin","48-062","48960","10905","166","157289"
"4368","Iron River Water, Light &","Wisconsin","48-063","51904","18854","270","334045"
"4369","Kcgonsa Electric Line Co.","Wisconsin","48-065","33051","11640","409","304720"
"4370","Lake Superior District Power","Wisconsin","48-068","12530883","2310154",NA,"3960620"
"4371","Laona Public Service Co.","Wisconsin","48-069","17624","17869","362","297200"
"4372","La Valle Electric Light &","Wisconsin","48-070","27918","7347",NA,NA
"4373","Madison Gas and Electric","Wisconsin","48-072","7863938","1834087","25134","24287835"
"4374","Menominee and Marinette","Wisconsin","48-073","2500809","584280",NA,"2585150"
"4375","Merchants Power & Light","Wisconsin","48-074","40070","10404","267","217060"
"4376","Midland Public Service","Wisconsin","48-075","312790","87444","1231","2614281"
"4377","Mississippi Valley Public","Wisconsin","48-079",NA,"145309","2060",NA
"4378","Nekoosa Edwards Light &","Wisconsin","48-081","175988","77207","1230","2019560"
"4379","•","Wisconsin","48-083","328147","53488","938","48440"
"4380","Northern Power Company","Wisconsin","48-089","729738","284471","23","17710311"
"4381","Northern States Power Company","Wisconsin","48-092","30856363","5336645",NA,"82780561"
"4382","Northern Wisconsin Power","Wisconsin","48-094","183279","46866","058","450400"
"4383","Northwestern Wisconsin","Wisconsin","48-095","554516","137645","2471","1211817"
"4384","Ojibwa Sales Company","Wisconsin","48-098",NA,"1663","37","20196"
"4385","Oxford Light & Power","Wisconsin","48-103",NA,"5907","115",NA
"4386","Pardeeville Electric Light","Wisconsin","48-105","69126","19673","400","242300"
"4387","Pioneer Power and Light Company","Wisconsin","48-107",NA,NA,NA,NA
"4388","Pleasant Springs Light &","Wisconsin","48-109","6615","1389","30","31671"
"4389","Polk Burnett Light & Power Co","Wisconsin","48-114","75410","16595","305","1322700"
"4390","Roxbury Light & Power Company","Wisconsin","48-122",NA,NA,NA,NA
"4391","Rush Lake Light & Power Co.","Wisconsin","48-125","36367","10615","180","200860"
"4392","St. Croix Falls Wisconsin","Wisconsin","48-127","2697606","401429","941","109515"
"4393","St. Croix Power Company","Wisconsin","48-129","695567","108021","1",NA
"4394","South Shore Utility Company","Wisconsin","48-133","3079","1307","28","45490"
"4395","Superior Water, Light and","Wisconsin","48-142","4859335","647043","10089","19727592"
"4396","Tilden Electric Light and Power","Wisconsin","48-147",NA,NA,NA,NA
"4397","Tigerton Electric Company","Wisconsin","48-149","62144","23802","396","474960"
"4398","West Dunkirk Electric Line Co.","Wisconsin","48-155","2550","783","19","20675"
"4399","Westfield Milling & Electric","Wisconsin","48-160",NA,"18265","340","139532"
"4400","White River Power Co.","Wisconsin","48-162","63809","14144","1",NA
"4401","Willow River Power Company","Wisconsin","48-164","1040790","172289","2418","596400"
"4402","Winter Electric Light and","Wisconsin","48-166",NA,NA,NA,NA
"4403","Wisconsin Central Utilities","Wisconsin","48-169","297586","89098","1511","1227200"
"4404","Wisconsin Electric Power","Wisconsin","48-171","105504041","22165087","252741","56010400"
"4405","Wisconsin Gas & Electric","Wisconsin","48-173","16198023","4855601","66472","216423847"
"4406","Wisconsin Hydro Electric","Wisconsin","48-175","3982496","587818","7266","4812660"
"4407","Wisconsin Michigan Power","Wisconsin","48-177","24644601","3597796","38719","4557339"
"4408","Wisconsin Power and Light","Wisconsin","48-180","53704290","9049622","111993","349651884"
"4409","Wisconsin Public Service","Wisconsin","48-182","37661681","7591678","84059","16686710"
"4410","Appleton Woolen Mills","Wisconsin","48-215",NA,NA,NA,NA
"4411","Combined Locks Paper Company","Wisconsin","48-226",NA,NA,NA,NA
"4412","Connor Lumber and Land Com","Wisconsin","48-237",NA,NA,NA,NA
"4413","Flambeau Paper Company","Wisconsin","48-248","50752",NA,NA,NA
"4414","Gilmanton Roller Mills","Wisconsin","48-259",NA,NA,NA,NA
"4415","Goodman Lumber Co.","Wisconsin","48-270",NA,"5296","1",NA
"4416","Island Woolen Company","Wisconsin","48-303",NA,"8808","1",NA
"4417","Kimberly Clark Corporation","Wisconsin","48-325",NA,NA,NA,NA
"4418","Manitowoc Portland Cement","Wisconsin","48-347",NA,NA,NA,NA
"4419","Marathon Paper Mills Co.","Wisconsin","48-358","1250000","216","1",NA
"4420","Medusa Portland Cement Com","Wisconsin","48-369",NA,"3908","74",NA
"4421","Mrs. L. G. Miller","Wisconsin","48-380",NA,"6949",NA,NA
"4422","Mosinee Paper Mills Co.","Wisconsin","48-391","484642","2152","1",NA
"4423","Nekoosa- Edwards Paper Co.","Wisconsin","48-402",NA,"44787","2",NA
"4424","Nicolet Paper Corporation","Wisconsin","48-413","161300",NA,NA,NA
"4425","Peavey Paper Products Company","Wisconsin","48-435","59198",NA,"1",NA
"4426","Tigerton Lumber Company","Wisconsin","48-454",NA,"4783",NA,NA
"4427","Tomahawk Kraft Paper Co.","Wisconsin","48-457",NA,"3171",NA,NA
